Question,Scenario,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation,Topic
"A company wants to build a chatbot for customer service. They have conversation logs but no labeled intent data. What's the best approach to get started?","Customer service logs contain thousands of conversations like 'I want to return my order', 'Where is my package?', 'Cancel my subscription'. Need to identify common intents.","A) Manually label all conversations first","B) Use unsupervised clustering to discover intent patterns, then label representative samples","C) Build rule-based system only","D) Use pre-trained model without customization","B","Start with unsupervised clustering (K-means, topic modeling) to discover natural intent groupings, then label representative samples from each cluster for training a supervised classifier.","NLP Basics"
"For preprocessing text data before feeding to an NLP model, which steps are typically most important?","Raw customer reviews: 'AMAZING product!!! Best purchase ever 😀 #happy' vs 'terrible quality... wouldn't recommend to anyone.'","A) Only lowercase conversion","B) Tokenization, normalization (lowercase, punctuation), handling special characters and emojis","C) Remove all punctuation and numbers","D) No preprocessing needed","B","Essential preprocessing includes: tokenization (split into words/subwords), normalization (lowercase, handle punctuation), emoji handling, and removing/normalizing special characters while preserving meaning.","Data Preprocessing"
"In text classification, what's the difference between bag-of-words (BoW) and TF-IDF representations?","Classifying movie reviews: BoW counts word occurrences, TF-IDF weights words by frequency and rarity across the corpus.","A) BoW and TF-IDF are identical","B) BoW counts word frequency, TF-IDF weights by both frequency and inverse document frequency","C) TF-IDF only counts unique words","D) BoW is always better than TF-IDF","B","BoW represents text as word frequency counts. TF-IDF weights words by their frequency in the document (TF) and inverse frequency across corpus (IDF), emphasizing rare but informative words.","Text Representation"
"When using word embeddings for text classification, what advantage do they provide over traditional sparse representations?","Sparse representation: 'good movie' and 'excellent film' have no shared features. Dense embeddings capture semantic similarity between 'good/excellent' and 'movie/film'.","A) Embeddings are always larger","B) Embeddings capture semantic similarity and reduce dimensionality compared to sparse vectors","C) Sparse representations are always better","D) No significant difference","B","Word embeddings provide dense, low-dimensional representations that capture semantic relationships (synonyms, analogies) that sparse BoW/TF-IDF representations miss.","Word Embeddings"
"In named entity recognition (NER), what types of entities are commonly identified and why is context important?","Sentence: 'Apple released the iPhone in California.' Need to identify 'Apple' (company), 'iPhone' (product), 'California' (location) based on context.","A) Only person names matter","B) Common entities include persons, organizations, locations, dates; context disambiguates entity types","C) Entity type doesn't matter","D) Single words are always sufficient","B","NER identifies entities like PERSON, ORGANIZATION, LOCATION, DATE, MONEY. Context is crucial for disambiguation: 'Apple' could be fruit or company depending on surrounding words.","Named Entity Recognition"
"What is part-of-speech (POS) tagging and how does it help in NLP tasks?","Sentence: 'The bear can bear the cold.' First 'bear' is noun (animal), second 'bear' is verb (endure). POS tagging disambiguates word meanings.","A) POS tagging is unnecessary","B) POS tagging identifies grammatical roles (noun, verb, adjective) which helps disambiguation and parsing","C) POS tags are always the same for identical words","D) Only sentence length matters","B","POS tagging assigns grammatical categories (noun, verb, adjective) to words, helping with disambiguation, parsing, and feature extraction for downstream NLP tasks.","POS Tagging"
"In sentiment analysis, what are the main challenges when dealing with informal text like social media posts?","Tweet: 'OMG this movie is sooooo bad it's actually good lol 😂 #irony' Contains sarcasm, slang, elongated words, emojis, and contradictory sentiment.","A) Informal text has no special challenges","B) Challenges include sarcasm, slang, typos, emojis, abbreviations, and context-dependent sentiment","C) Only grammar matters","D) Sentiment is always explicit","B","Informal text challenges include: sarcasm/irony detection, slang and abbreviations, typos and elongated words, emoji interpretation, and implicit sentiment requiring context understanding.","Sentiment Analysis"
"What is the difference between document-level and aspect-based sentiment analysis?","Restaurant review: 'The food was amazing but the service was terrible and the atmosphere was okay.' Overall sentiment vs. sentiment for specific aspects.","A) Both are identical","B) Document-level gives overall sentiment, aspect-based identifies sentiment for specific aspects/features","C) Aspect-based is always better","D) Only document-level sentiment exists","B","Document-level sentiment provides overall opinion. Aspect-based sentiment analysis identifies opinions about specific aspects (food, service, price) within the same document.","Sentiment Analysis"
"In machine translation, what is the alignment problem and why is it challenging?","Translating 'The quick brown fox' to 'Le renard brun rapide' - word order changes and 'quick' aligns to 'rapide' which appears later in the French sentence.","A) Alignment is not important","B) Alignment maps words/phrases between source and target languages, challenging due to different word orders and idioms","C) Word order is always preserved","D) One-to-one mapping always exists","B","Alignment maps corresponding words/phrases between languages. Challenges include different word orders, one-to-many mappings, idioms, and structural differences between languages.","Machine Translation"
"What are n-grams and how are they used in language modeling and text processing?","Analyzing 'The cat sat on the mat': Unigrams: [The, cat, sat, on, the, mat], Bigrams: [The cat, cat sat, sat on, on the, the mat].","A) N-grams are only single words","B) N-grams are sequences of n consecutive words/tokens used for context modeling and pattern recognition","C) N-grams don't capture context","D) Only bigrams are useful","B","N-grams are sequences of n consecutive tokens. Unigrams (1-word), bigrams (2-word), trigrams (3-word) capture local context patterns for language modeling and feature extraction.","N-grams"
"In information retrieval, what is the difference between precision and recall?","Search for 'machine learning papers': Retrieved 100 papers, 80 relevant. Database contains 200 relevant papers total. Precision=80/100=80%, Recall=80/200=40%.","A) Precision and recall are the same","B) Precision measures relevance of retrieved results, recall measures completeness of retrieval","C) Only precision matters","D) Only recall matters","B","Precision = relevant retrieved / total retrieved (quality of results). Recall = relevant retrieved / total relevant (completeness of retrieval). Both are important for IR evaluation.","Information Retrieval"
"What is text summarization and what are the main approaches?","Long news article about climate change needs a 3-sentence summary. Can either extract key sentences or generate new summary text.","A) Only extractive summarization exists","B) Extractive selects important sentences, abstractive generates new summary text","C) Summarization is always automatic","D) Length doesn't matter in summarization","B","Extractive summarization selects and combines important sentences from source text. Abstractive summarization generates new text that captures key information, similar to human summarization.","Text Summarization"
"In topic modeling, what does Latent Dirichlet Allocation (LDA) discover?","Analyzing news articles: LDA might discover topics like 'politics' (words: election, government, policy), 'sports' (words: game, team, score), 'technology' (words: software, computer, innovation).","A) LDA only counts word frequencies","B) LDA discovers hidden topics as distributions over words and documents as distributions over topics","C) LDA finds only one topic per document","D) Topics are predefined in LDA","B","LDA assumes documents are mixtures of topics, and topics are distributions over words. It discovers these hidden topics and the topic composition of each document.","Topic Modeling"
"What is dependency parsing and how does it differ from constituency parsing?","Sentence: 'The big dog chased the cat.' Dependency: dog→subject→chased, cat→object→chased. Constituency: [NP The big dog] [VP chased [NP the cat]].","A) Both parsing methods are identical","B) Dependency shows word relationships, constituency shows phrase structure","C) Only dependency parsing is useful","D) Parsing is unnecessary for NLP","B","Dependency parsing identifies grammatical relationships between words (subject, object, modifier). Constituency parsing groups words into phrases and shows hierarchical sentence structure.","Syntactic Parsing"
"In text generation, what is the difference between greedy decoding and beam search?","Generating text with language model: Greedy always picks highest probability next word. Beam search considers multiple hypotheses to find better overall sequences.","A) Greedy and beam search are identical","B) Greedy picks best next token, beam search explores multiple paths to find better overall sequences","C) Beam search is always worse","D) Only greedy decoding works","B","Greedy decoding selects the highest probability token at each step. Beam search maintains multiple hypotheses and can find better overall sequences by considering future context.","Text Generation"
"What is the attention mechanism in neural machine translation and why is it important?","Translating long sentence: traditional seq2seq compresses entire source into fixed vector. Attention allows decoder to focus on relevant source parts for each target word.","A) Attention is only for computer vision","B) Attention allows models to focus on relevant parts of input sequence when generating each output token","C) Attention makes models slower without benefits","D) Fixed-size representations are always better","B","Attention mechanisms allow models to selectively focus on different parts of the input sequence when producing each output, solving the information bottleneck of fixed-size representations.","Attention Mechanism"
"In the Transformer architecture, what makes it different from RNN-based models for sequence processing?","RNNs process sequences sequentially (word by word). Transformers use self-attention to process all positions simultaneously, enabling parallelization.","A) Transformers are slower than RNNs","B) Transformers process sequences in parallel using self-attention instead of sequential processing","C) RNNs and Transformers are identical","D) Transformers only work for short sequences","B","Transformers replace sequential processing with parallel self-attention, enabling faster training, better long-range dependency modeling, and more efficient computation on modern hardware.","Transformers"
"What is self-attention and how does it help in understanding text relationships?","In 'The animal didn't cross the street because it was too tired', self-attention helps identify that 'it' refers to 'animal' not 'street' by learning attention weights.","A) Self-attention only looks at adjacent words","B) Self-attention allows each word to attend to all other words in the sequence to capture dependencies","C) Self-attention is random","D) Dependencies don't matter in text","B","Self-attention computes attention weights between all word pairs in a sequence, allowing the model to identify relevant context and dependencies regardless of distance.","Transformers"
"In multi-head attention, why use multiple attention heads instead of single attention?","Sentence analysis: Head 1 might focus on syntactic relationships (subject-verb), Head 2 on semantic relationships (word meanings), Head 3 on coreference (pronoun resolution).","A) Multiple heads slow down computation","B) Multiple heads allow capturing different types of relationships (syntactic, semantic, positional) simultaneously","C) Single head is always sufficient","D) Multiple heads are just for regularization","B","Multiple attention heads allow the model to attend to different representation subspaces simultaneously, capturing various types of relationships (syntax, semantics, position) in parallel.","Transformers"
"What is the encoder-decoder architecture in Transformers and when is it used?","Machine translation task: Encoder processes source language sentence, decoder generates target language sentence using encoder representations and previously generated tokens.","A) Only decoders are needed","B) Encoder processes input sequence, decoder generates output sequence using encoder representations","C) Encoders and decoders work independently","D) Both encoder and decoder are identical","B","Encoder-decoder architecture: encoder processes input sequence into representations, decoder generates output sequence using encoder representations and autoregressive generation.","Transformers"
"What is BERT's masked language modeling (MLM) training objective?","Training BERT on 'The [MASK] jumped over the fence': BERT uses bidirectional context (words before and after) to predict the masked word.","A) BERT only looks at previous words","B) BERT predicts masked words using bidirectional context (both directions)","C) BERT generates text left-to-right","D) Masking is not important","B","MLM randomly masks tokens and trains BERT to predict them using full bidirectional context, enabling rich bidirectional representations unlike unidirectional language models.","BERT/GPT"
"How does BERT's Next Sentence Prediction (NSP) task work and what does it teach the model?","Training BERT with sentence pairs: 'I love pizza. It's my favorite food.' (IsNext=True) vs 'I love pizza. The weather is nice today.' (IsNext=False).","A) NSP only uses single sentences","B) NSP trains BERT to predict if one sentence logically follows another, learning discourse relationships","C) NSP is unrelated to language understanding","D) NSP makes BERT slower","B","NSP trains BERT to understand relationships between sentences by predicting if sentence B follows sentence A, helping with tasks requiring multi-sentence understanding.","BERT/GPT"
"What is the key difference between BERT and GPT in terms of architecture and training?","BERT uses bidirectional encoder, sees full context when predicting masked words. GPT uses unidirectional decoder, predicts next token seeing only left context.","A) BERT and GPT are identical","B) BERT is bidirectional encoder (MLM), GPT is unidirectional decoder (autoregressive LM)","C) BERT is only for classification","D) GPT cannot understand context","B","BERT: bidirectional encoder trained with masked language modeling. GPT: unidirectional decoder trained with autoregressive language modeling (predicting next tokens).","BERT/GPT"
"When fine-tuning BERT for text classification, what modifications are typically made?","Fine-tuning BERT for sentiment analysis: BERT outputs contextual embeddings for all tokens, but need single sentiment prediction for the entire text.","A) Replace all BERT layers","B) Add classification head on [CLS] token representation","C) Use only the last layer","D) No modifications needed","B","Add a linear classification layer that takes the [CLS] token's final representation (designed to represent the entire sequence) and maps it to class probabilities.","BERT/GPT"
